Distributor,Brand Name,Product,Type,Size in liters,Price per bottle,SKU,
Martignetti,Markham,MARKHAM CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,49.99,022270 ⇢,
Martignetti,Martin Ray,MARTIN RAY CABERNET SAUVIGNON SONOMA,Domestic Cabernet Sauvignon & Blends,0.75,26.99,041062 ⇢,
Martignetti,Martin Ray,MARTIN RAY SYNTHESIS CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,34.99,019325 ⇢,
Martignetti,Menage a Trois,MENAGE A TROIS DECADENCE CABERNET SAUVIGNO,Domestic Cabernet Sauvignon & Blends,0.75,14.99,029760 ⇢,
Martignetti,Menage a Trois,MENAGE A TROIS CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,14.99,017163 ⇢,
Martignetti,Menage a Trois,MENAGE A TROIS BOURBON BARREL CABERNET SAU,Domestic Cabernet Sauvignon & Blends,0.75,13.49,033462 ⇢,
Martignetti,Merryvale,MERRYVALE CABERNET SAUVIGNON NAPA 2018,Domestic Cabernet Sauvignon & Blends,0.75,74.99,061637 ⇢,
Martignetti,Merryvale,MERRYVALE ST HELENA CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,124.99,015699 ⇢,
Martignetti,Mica by Buccella,MICA BY BUCCELLA CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,124.99,029333 ⇢,
Martignetti,Mind & Body,MIND AND BODY CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,13.99,036415 ⇢,
Martignetti,Misfits & Mavens,MISFITS MAVENS CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,19.99,028991 ⇢,
Martignetti,Mon Frere,MON FRERE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,9.99,035321 ⇢,
Martignetti,Napa Cellars,NAPA CELLARS CAB SAUVIGNON  NAPA VALLEY,Domestic Cabernet Sauvignon & Blends,0.75,31.99,047090 ⇢,
Martignetti,Napa Valley Quilt,"NAPA VALLEY QUILT CABERNET SAUVIGNON, NAPA",Domestic Cabernet Sauvignon & Blends,0.75,49.99,027669 ⇢,
Martignetti,Neal Family Vyd,NEAL FAMILY VYD CABERNET SAUVIGNON NAPA,Domestic Cabernet Sauvignon & Blends,0.75,64.99,044493 ⇢,
Martignetti,Neal Family Vyd,NEAL FAMILY VYD CABERNET HOWELL MTN,Domestic Cabernet Sauvignon & Blends,0.75,114.99,019605 ⇢,
Martignetti,Neal Family Vyd,NEAL FAMILY VYD CABERNET RUTHERFORD DUST,Domestic Cabernet Sauvignon & Blends,0.75,94.99,016678 ⇢,
Martignetti,Neyers Vineyards,NEYERS CABERNET SAUVIGNON NEYERS RANCH,Domestic Cabernet Sauvignon & Blends,0.75,74.99,039184 ⇢,
Martignetti,Nickel & Nickel,NICKEL   NICKEL BRANDING IRON CAB SAUV,Domestic Cabernet Sauvignon & Blends,0.75,134.99,044650 ⇢,
Martignetti,Nickel & Nickel,NICKEL AND NICKEL SULLENGER VYD CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,134.99,032789 ⇢,
Martignetti,Nickel & Nickel,NICKEL   NICKEL C.C. RANCH CAB SAUV,Domestic Cabernet Sauvignon & Blends,0.75,134.99,014682 ⇢,
Martignetti,Nickel & Nickel,NICKEL NICKEL STATE RANCH CAB SAUV YOUN,Domestic Cabernet Sauvignon & Blends,0.75,134.99,014683 ⇢,
Martignetti,Ninety Cellars,NINETY+CELLARS LOT 210 CABERNET PASO ROBLE,Domestic Cabernet Sauvignon & Blends,0.75,17.99,038843 ⇢,
Martignetti,Ninety Cellars,NINETY+CELLARS LOT 200 CABERNET OAKVILLE,Domestic Cabernet Sauvignon & Blends,0.75,44.99,014400 ⇢,
Martignetti,Ninety Cellars,NINETY+CELLARS LOT 94 CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,24.99,020568 ⇢,
Martignetti,O Shaughnessy,O'SHAUGHNESSY HOWELL MTN CABERNET SAUVIGNO,Domestic Cabernet Sauvignon & Blends,0.75,114.99,018578 ⇢,
Martignetti,Odette,ODETTE ESTATE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,199.99,024423 ⇢,
Martignetti,Opus One,OPUS ONE 2021,Domestic Cabernet Sauvignon & Blends,0.75,424.99,061213 ⇢,
Martignetti,Opus One,OPUS ONE 2018,Domestic Cabernet Sauvignon & Blends,0.75,424.99,015712 ⇢,
Martignetti,Opus One,OPUS ONE 2017,Domestic Cabernet Sauvignon & Blends,0.75,424.99,035328 ⇢,
Martignetti,Outerbound,OUTERBOUND CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,39.99,038730 ⇢,
Martignetti,Owls Nest,OWLS NEST PURPLE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,9.99,030070 ⇢,
Martignetti,Patrimony,PATRIMONY CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,274.99,038533 ⇢,
Martignetti,Paul Hobbs,PAUL HOBBS NATHAN COOMS EST CABERNET SAUVI,Domestic Cabernet Sauvignon & Blends,0.75,329.99,024282 ⇢,
Martignetti,Paul Hobbs,PAUL HOBBS CABERNET SAUVIGNON NAPA,Domestic Cabernet Sauvignon & Blends,0.75,129.99,041588 ⇢,
Martignetti,Penfolds,PENFOLDS BIN 98 QUANTUM CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,699.99,016576 ⇢,
Martignetti,Penfolds,PENFOLDS BIN 704 NAPA CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,71.99,016572 ⇢,
Martignetti,Penfolds,PENFOLDS BIN 600 NAPA CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,51.99,016570 ⇢,
Martignetti,Plumpjack,PLUMPJACK ESTATE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,199.99,024427 ⇢,
Martignetti,Post & Beam,POST BEAM CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,49.99,037846 ⇢,
Martignetti,Postmark,POSTMARK CABERNET SAUVIGNON PASO ROBLES,Domestic Cabernet Sauvignon & Blends,0.75,34.99,034577 ⇢,
Martignetti,Predator,PREDATOR CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,18.99,026891 ⇢,
Martignetti,Quattro,QUATTRO THEORY CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,41.99,061268 ⇢,
Martignetti,Quilt,QUILT RESERVE CABERNET SAUVIGNON NAPA,Domestic Cabernet Sauvignon & Blends,0.75,79.99,038933 ⇢,
Martignetti,Quilt,QUILT NAPA STANDARD CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,21.99,013691 ⇢,
Martignetti,Ramey,RAMEY CABERNET SAUVIGNON PEDREGAL VYD,Domestic Cabernet Sauvignon & Blends,0.75,199.99,025602 ⇢,
Martignetti,Robert Craig,ROBERT CRAIG CABERNET HOWELL MOUNTAIN,Domestic Cabernet Sauvignon & Blends,0.75,119.99,028366 ⇢,
Martignetti,Robert Craig,ROBERT CRAIG CABERNET SPRING MOUNTAIN,Domestic Cabernet Sauvignon & Blends,0.75,99.99,028733 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,20.99,008781 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG CAB SAUV  ALEXANDER VALLEY,Domestic Cabernet Sauvignon & Blends,0.75,25.99,046985 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG SYMMETRY,Domestic Cabernet Sauvignon & Blends,0.75,49.99,010400 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG ROCKAWAY CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,77.99,011389 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG KNIGHTS VALLEY CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,25.99,033557 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG RESERVE CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,49.99,021281 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG BROTHERS RIDGE CABERNET SAUV,Domestic Cabernet Sauvignon & Blends,0.75,77.99,021280 ⇢,
Martignetti,Rodney Strong,RODNEY STRONG ALEXANDER CROWN AV CABERNET,Domestic Cabernet Sauvignon & Blends,0.75,77.99,023130 ⇢,
Martignetti,Routestock,ROUTESTOCK CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,27.99,030343 ⇢,
Martignetti,Rutherford Ranch,RUTHERFORD RANCH CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,46.99,032090 ⇢,
Martignetti,Seaglass,SEAGLASS CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,14.99,022056 ⇢,
Martignetti,Sean Minor,SEAN MINOR 4B PASO ROBLES CAB,Domestic Cabernet Sauvignon & Blends,0.75,16.99,017329 ⇢,
Martignetti,Sean Minor,SEAN MINOR CABERNET SAUVIGNONNORTH COAST,Domestic Cabernet Sauvignon & Blends,0.75,26.99,015009 ⇢,
Martignetti,Shafer,SHAFER ONE POINT FIVE CAB SAUVIGNON  SLD,Domestic Cabernet Sauvignon & Blends,0.75,109.99,014061 ⇢,
Martignetti,Shafer,SHAFER ONE POINT FIVE CABERNET 2021,Domestic Cabernet Sauvignon & Blends,0.75,124.99,038939 ⇢,
Martignetti,Shafer,SHAFER HILLSIDE CABERNET SAUVIGNON 2016,Domestic Cabernet Sauvignon & Blends,0.75,309.99,016594 ⇢,
Martignetti,Silver Oak,SILVER OAK CAB SAUVIGNON  ALEXANDER VALLEY,Domestic Cabernet Sauvignon & Blends,1.5,224.99,015982 ⇢,
Martignetti,Silver Oak,SILVER OAK NAPA VALLEY CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,199.99,043362 ⇢,
Martignetti,Silver Oak,SILVER OAK ALEXANDER VALLEY CAB SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,101.99,044547 ⇢,
Martignetti,Skyfall,SKYFALL CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,18.99,026085 ⇢,
Martignetti,Snap Dragon,SNAP DRAGON CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,11.99,012268 ⇢,
Martignetti,Spottswoode,SPOTTSWOODE CABERNET SAUVIGNON NAPA,Domestic Cabernet Sauvignon & Blends,0.75,199.99,026104 ⇢,
Martignetti,Spottswoode,SPOTTSWOODE LYNDENHURST CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,84.99,023591 ⇢,
Martignetti,Spottswoode,SPOTTSWOODE EST CABERNET SAUVIGNON 2019,Domestic Cabernet Sauvignon & Blends,0.75,249.99,038575 ⇢,
Martignetti,Spottswoode,SPOTTSWOODE EST CABERNET SAUVIGNON 2019,Domestic Cabernet Sauvignon & Blends,1.5,529.99,038574 ⇢,
Martignetti,St Huberts,ST HUBERTS THE STAG CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,20.99,028257 ⇢,
Martignetti,St Supery,ST SUPERY ESTATE CABERNET SAUVIGNON NAPA,Domestic Cabernet Sauvignon & Blends,0.75,59.99,021469 ⇢,
Martignetti,Stags Leap,STAGS LEAP  CABERNET SVGN NAPA,Domestic Cabernet Sauvignon & Blends,0.75,64.99,035959 ⇢,
Martignetti,Stags Leap,STAGS LEAP LIMITED EDITION RESERVE CABERNE,Domestic Cabernet Sauvignon & Blends,0.75,119.99,039069 ⇢,
Martignetti,Sterling Napa,STERLING CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,32.99,008921 ⇢,
Martignetti,Sterling Vintners Cltn,STERLING CABERNET VINTNERS CLTN C COAST,Domestic Cabernet Sauvignon & Blends,0.75,9.99,032906 ⇢,
Martignetti,Stone Cellars,STONE CELLARS CABERNET SVGN CAL,Domestic Cabernet Sauvignon & Blends,1.5,13.99,035913 ⇢,
Martignetti,Sutter Home,SUTTER HOME CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,5.99,007874 ⇢,
Martignetti,Sutter Home,SUTTER HOME CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,1.5,10.99,006269 ⇢,
Martignetti,Sutter Home,SUTTER HOME CABERNET SAUVIGNON CLASSIC,Domestic Cabernet Sauvignon & Blends,0.75,6.99,025522 ⇢,
Martignetti,Sutter Home,SUTTER HOME CABERNET SAUVIGNON TETRA,Domestic Cabernet Sauvignon & Blends,0.5,4.99,028623 ⇢,
Martignetti,Sycamore Lane,SYCAMORE LANE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,5.79,033209 ⇢,
Martignetti,Sycamore Lane,SYCAMORE LANE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,1.5,10.49,033210 ⇢,
Martignetti,Taub Family,TAUB FAMILY CABERNET SAUVIGNON RUTHERFORD,Domestic Cabernet Sauvignon & Blends,0.75,69.99,038761 ⇢,
Martignetti,Textbook,TEXTBOOK CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,24.99,032015 ⇢,
Martignetti,The Calling,THE CALLING CABERNET SAUVIGNON ALEX VLLY,Domestic Cabernet Sauvignon & Blends,0.75,36.99,017326 ⇢,
Martignetti,The Critic,THE CRITIC CABERNET SAUVIGNON NAPA,Domestic Cabernet Sauvignon & Blends,0.75,21.99,018497 ⇢,
Martignetti,The Show,THE SHOW CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,12.99,045503 ⇢,
Martignetti,Three Thieves,THREE THIEVES CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,7.99,024129 ⇢,
Martignetti,Trefethen,TREFETHEN CABERNET SAUVIGNON  NAPA VALLEY,Domestic Cabernet Sauvignon & Blends,0.75,74.99,022665 ⇢,
Martignetti,Trinity Oaks,TRINITY OAKS CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,9.99,034507 ⇢,
Martignetti,Truchard Vineyards,TRUCHARD VINEYARDS CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,42.99,037387 ⇢,
Martignetti,Twenty Acres by Bogle,TWENTY ACRES BY BOGLE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,9.99,036372 ⇢,
Martignetti,Ulysses,ULYSSES CABERNET SAUVIGNON NAPA VALLEY,Domestic Cabernet Sauvignon & Blends,0.75,159.99,033866 ⇢,
Martignetti,Uppercut,UPPERCUT CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,16.99,014289 ⇢,
Martignetti,Vina Robles,VINA ROBLES CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.75,22.99,023620 ⇢,
Martignetti,Whitehall Lane,WHITEHALL LANE LEONARDINI EST CABERNET SAU,Domestic Cabernet Sauvignon & Blends,0.75,81.99,024804 ⇢,
Martignetti,Whitehall Lane,WHITEHALL LANE RASSI CABERNET SONOMA VLLY,Domestic Cabernet Sauvignon & Blends,0.75,24.99,016177 ⇢,
Martignetti,Whitehall Lane,WHITEHALL LANE CAB SAUVIGNON  NAPA VALLEY,Domestic Cabernet Sauvignon & Blends,0.75,59.99,033370 ⇢,
Martignetti,Wine Cube,WINE CUBE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,0.5,4.49,025931 ⇢,
Martignetti,Wine Cube,WINE CUBE CABERNET SAUVIGNON,Domestic Cabernet Sauvignon & Blends,3,16.99,025941 ⇢,
Martignetti,19 Crimes,19 CRIMES MARTHAS LIGHTER CHARD,Domestic Chardonnay,0.75,14.99,038766 ⇢,
Martignetti,19 Crimes Modern,19 CRIMES MARTHAS CHARD,Domestic Chardonnay,0.75,14.99,013758 ⇢,
Martignetti,A by Acacia,A BY ACACIA CHARDONNAY CALIFORNIA,Domestic Chardonnay,0.75,11.99,044233 ⇢,
Martignetti,A by Acacia,A BY ACACIA UNOAKED CHARDONNAY,Domestic Chardonnay,0.75,11.99,018568 ⇢,
Martignetti,Andover Estate,ANDOVER ESTATE CHARDONNAY,Domestic Chardonnay,0.75,11.99,026264 ⇢,
Martignetti,Angeline,ANGELINE CHARDONNAY CALIFORNIA,Domestic Chardonnay,0.75,13.99,015020 ⇢,
Martignetti,Aravail,ARAVAIL CHARDONNAY,Domestic Chardonnay,0.75,8.79,016162 ⇢,
Martignetti,Au Contraire,AU CONTRAIRE CHARDONNAY,Domestic Chardonnay,0.75,14.99,024014 ⇢,
Martignetti,Bandit,BANDIT CHARDONNAY,Domestic Chardonnay,1,7.99,046701 ⇢,
Martignetti,Bergstrom,BERGSTROM CHARDONNAY OLD STONES,Domestic Chardonnay,0.75,43.99,025720 ⇢,
Martignetti,Beringer Bros,BERINGER BROS CHARDONNAY,Domestic Chardonnay,0.75,17.99,030701 ⇢,
Martignetti,Beringer Distinction Series,BERINGER LUMINOUS CHARDONNAY,Domestic Chardonnay,0.75,38.99,020410 ⇢,
Martignetti,Beringer Private Reserve,BERINGER PRIVATE RESERVE CHARDONNAY,Domestic Chardonnay,0.75,49.99,031119 ⇢,
Martignetti,Beringer Regional Est,BERINGER NAPA VALLEY CHARDONNAY,Domestic Chardonnay,0.75,29.99,008704 ⇢,
Martignetti,Boen,BOEN TRI APPELLATION CHARDONNAY,Domestic Chardonnay,0.75,21.99,017956 ⇢,
Martignetti,Bogle,BOGLE CHARDONNAY,Domestic Chardonnay,0.75,13.99,023143 ⇢,
Martignetti,Buehler,BUEHLER CHARDONNAY RUSSIAN RIVER,Domestic Chardonnay,0.75,22.99,026383 ⇢,
Martignetti,Ca Momi,CA MOMI CHARDONNAY NAPA VALLEY,Domestic Chardonnay,0.75,19.99,018744 ⇢,
Martignetti,CA Sessions,CA SESSIONS ALL DAY CHARDONNAY,Domestic Chardonnay,0.75,18.99,038548 ⇢,
Martignetti,Calera,CALERA CENTRAL COAST CHARDONNAY,Domestic Chardonnay,0.75,21.99,025255 ⇢,
Martignetti,California Roots,CALIFORNIA ROOTS CHARDONNAY,Domestic Chardonnay,0.75,4.79,029457 ⇢,
Martignetti,California Roots,CALIFORNIA ROOTS CHARDONNAY,Domestic Chardonnay,1.5,8.99,016978 ⇢,
Martignetti,Cannonball,CANNONBALL CHARDONNAY,Domestic Chardonnay,0.75,16.99,015528 ⇢,
Martignetti,Cannonball Eleven,CANNONBALL ELEVEN CHARDONNAY SONOMA COAST,Domestic Chardonnay,0.75,29.99,033193 ⇢,
Martignetti,Ch Montelena,"CH MONTELENA CHARDONNAY, NAPA",Domestic Chardonnay,0.75,72.99,037048 ⇢,
Martignetti,Chappellet,CHAPPELLET GROWER CLTN CHARDONNAY CALESA,Domestic Chardonnay,0.75,49.99,035014 ⇢,
Martignetti,Cline,CLINE CHARDONNAY SONOMA COAST,Domestic Chardonnay,0.75,15.99,024621 ⇢,
Martignetti,Common Man,COMMON MAN CHARDONNAY,Domestic Chardonnay,0.75,8.99,021420 ⇢,
Martignetti,Crane Lake,CRANE LAKE CHARDONNAY  CALIFORNIA,Domestic Chardonnay,0.75,6.99,042438 ⇢,
Martignetti,Crane Lake,CRANE LAKE CHARDONNAY  CALIFORNIA,Domestic Chardonnay,1.5,12.99,042439 ⇢,
Martignetti,Cristom,CRISTOM CHARDONNAY EOLA AMITY HILLS,Domestic Chardonnay,0.75,41.99,035920 ⇢,
Martignetti,Dance,DANCE CHARDONNAY,Domestic Chardonnay,0.75,39.99,029027 ⇢,
Martignetti,Daou,DAOU BODYGUARD CHARDONNAY,Domestic Chardonnay,0.75,37.99,038544 ⇢,
Martignetti,Daou,DAOU CHARDONNAY,Domestic Chardonnay,0.75,21.99,015813 ⇢,
Martignetti,Davis Bynum,DAVIS BYNUM RIVER WEST CHARDONNAY RRV,Domestic Chardonnay,0.75,25.99,026890 ⇢,
Martignetti,Decoy by Duckhorn,DECOY BY DUCKHORN CHARDONNAY,Domestic Chardonnay,0.75,19.99,015355 ⇢,
Martignetti,Decoy Limited,DECOY LIMITED CHARDONNAY,Domestic Chardonnay,0.75,29.99,016622 ⇢,
Martignetti,dough,DOUGH CHARDONNAY,Domestic Chardonnay,0.75,15.99,017922 ⇢,
Martignetti,Douglass Hill,DOUGLASS HILL CHARDONNAY,Domestic Chardonnay,0.75,6.99,014100 ⇢,
Martignetti,Drop of Sunshine,DROP OF SUNSHINE CHARDONNAY,Domestic Chardonnay,0.75,15.99,061851 ⇢,
Martignetti,Duckhorn,DUCKHORN CHARDONNAY NAPA,Domestic Chardonnay,0.75,38.99,023871 ⇢,
Martignetti,Elouan,ELOUAN CHARDONNAY OREGON,Domestic Chardonnay,0.75,17.99,034505 ⇢,
Martignetti,Eshcol,ESHCOL CHARDONNAY,Domestic Chardonnay,0.75,19.99,037934 ⇢,
Martignetti,Far Mountain,FAR MOUNTAIN MYRNA CHARDONNAY,Domestic Chardonnay,0.75,49.99,014902 ⇢,
Martignetti,Far Niente,FAR NIENTE CHARDONNAY  NAPA VALLEY,Domestic Chardonnay,0.75,74.99,024503 ⇢,
Martignetti,FEL,FEL CHARDONNAY ANDERSON VALLEY,Domestic Chardonnay,9,31.99,018179 ⇢,
Martignetti,Fess Parker,FESS PARKER CHARDONNAY SANTA BARBARA,Domestic Chardonnay,0.75,21.99,029810 ⇢,
Martignetti,Fess Parker,FESS PARKER ASHLEYS CHARDONNAY,Domestic Chardonnay,0.75,35.99,021584 ⇢,
Martignetti,Fess Parker,FESS PARKER CHARDONNAY SANFORD BENEDICT,Domestic Chardonnay,0.75,36.99,038401 ⇢,
Martignetti,Fess Parker,FESS PARKER BIEN NACIDO CHARDONNAY,Domestic Chardonnay,0.75,51.99,021879 ⇢,
Martignetti,Fess Parker,FESS PARKER CHARDONNAY SANTA BARBARA OP,Domestic Chardonnay,0.75,14.99,030054 ⇢,
Martignetti,FitVine,FITVINE CHARDONNAY,Domestic Chardonnay,0.75,16.99,026609 ⇢,
Martignetti,Flowers,FLOWERS CHARDONNAY SONOMA ON PREMISE,Domestic Chardonnay,0.75,25.99,061514 ⇢,
Martignetti,Flowers,FLOWERS SONOMA COAST CHARDONNAY,Domestic Chardonnay,0.75,64.99,015233 ⇢,
Martignetti,Forest Glen,FOREST GLEN CHARDONNAY,Domestic Chardonnay,0.75,12.99,025622 ⇢,
Martignetti,Forest Glen,FOREST GLEN CHARDONNAY,Domestic Chardonnay,1.5,21.99,033075 ⇢,
Martignetti,Forman,FORMAN  CHARDONNAY NAPA,Domestic Chardonnay,0.75,42.99,029147 ⇢,
Martignetti,Frank Family Vineyards,FRANK FAMILY VINEYARDS CHARDONNAY,Domestic Chardonnay,0.75,33.99,022717 ⇢,
Martignetti,Freakshow,FREAKSHOW CHARDONNAY CANS,Domestic Chardonnay,0.2,20.99,060927 ⇢,
Martignetti,Frogs Leap,FROG'S LEAP CHARDONNAY  NAPA VALLEY,Domestic Chardonnay,0.75,41.99,037542 ⇢,
Martignetti,Gary Farrell,GARY FARRELL RUSSIAN RIVER CHARDONNAY,Domestic Chardonnay,0.75,44.99,023194 ⇢,
Martignetti,Geyser Peak,GEYSER PEAK CHARDONNAY,Domestic Chardonnay,0.75,14.99,006566 ⇢,
Martignetti,Girard,GIRARD CHARDONNAY CARNEROS,Domestic Chardonnay,0.75,29.99,037126 ⇢,
Martignetti,Greg Norman Estates,GREG NORMAN EST CHARDONNAY RRV,Domestic Chardonnay,0.75,16.99,032055 ⇢,
Martignetti,Grgich Hills,GRGICH HILLS CHARDONNAY - NAPA VALLEY,Domestic Chardonnay,0.75,53.99,025716 ⇢,
Martignetti,Groth,GROTH CHARDONNAY HILLVIEW VINEYARD,Domestic Chardonnay,0.75,67.99,031120 ⇢,
Martignetti,Hess Collection,HESS THE LIONESS CHARDONNAY,Domestic Chardonnay,0.75,59.99,034595 ⇢,
Martignetti,Hess Collection,HESS COLLECTION ALLOMI CHARDONNAY,Domestic Chardonnay,0.75,34.99,015834 ⇢,
Martignetti,Hess Collection,HESS COLLECTION CHARDONNAY,Domestic Chardonnay,0.75,29.99,029489 ⇢,
Martignetti,Hess Select,"HESS SELECT CHARDONNAY, MONTEREY",Domestic Chardonnay,0.75,15.99,024086 ⇢,
Martignetti,Hess Shirtail,HESS SHIRTAIL CREEK VYD CHARDONNAY,Domestic Chardonnay,0.75,11.99,018797 ⇢,
Martignetti,Hob Nob,HOB NOB CHARDONNAY CALIFORNIA,Domestic Chardonnay,0.75,16.99,046422 ⇢,
Martignetti,House of Brown,HOUSE OF BROWN CHARDONNAY,Domestic Chardonnay,0.75,17.99,015460 ⇢,
Martignetti,J Lohr Est Series,J LOHR EST SERIES RIVERSTONE CHARDONNAY,Domestic Chardonnay,0.75,16.99,006579 ⇢,
Martignetti,J Lohr Est Series,J LOHR EST SERIES RIVERSTONE CHARD RESTAURANT CUVEE,Domestic Chardonnay,0.75,11.99,044704 ⇢,
Martignetti,J Lohr Est Series,J LOHR EST SERIES RIVERSTONE CHARDONNAY,Domestic Chardonnay,0.38,7.99,031418 ⇢,
Martignetti,J Lohr Est Series,J LOHR EST SERIES RIVERSTONE CHARDONNAY MAGNUM,Domestic Chardonnay,1.5,29.99,039518 ⇢,
Martignetti,J Lohr Vyd Series,J LOHR VYD SERIES CHARDONNAY OCTOBER NIGHT VINEYARD,Domestic Chardonnay,0.75,20.99,010032 ⇢,
Martignetti,J Lohr Vyd Series,J LOHR VYD SERIES CHARDONNAY  ARROYO VISTA,Domestic Chardonnay,0.75,22.99,029696 ⇢,
Martignetti,Joel Gott,JOEL GOTT UNOAKED CHARDONNAY CALIFORNIA,Domestic Chardonnay,0.75,13.99,012772 ⇢,
Martignetti,Josh Cellars,JOSH CELLARS CRAFTSMAN COLL CHARDONNAY,Domestic Chardonnay,0.75,12.99,026846 ⇢,
Martignetti,Josh Cellars,JOSH CELLARS CHARDONNAY,Domestic Chardonnay,0.75,16.99,013665 ⇢,
Martignetti,Josh Cellars,JOSH CELLARS CHARDONNAY,Domestic Chardonnay,0.38,6.99,033910 ⇢,
Martignetti,Josh Reserve,JOSH RESERVE BUTTERY CHARDONNAY - TARGET,Domestic Chardonnay,0.75,19.99,035149 ⇢,
Martignetti,Josh Reserve,JOSH CELLARS RESERVE CHARD NORTH COAST,Domestic Chardonnay,0.75,19.99,033776 ⇢,
Martignetti,Juggernaut,JUGGERNAUT CHARDONNAY,Domestic Chardonnay,0.75,18.99,039039 ⇢,
Martignetti,Kistler,KISTLER CHARDONNAY LES NOISETIERS,Domestic Chardonnay,0.75,79.99,042677 ⇢,
Martignetti,Knights Bridge,KNIGHTS BRIDGE CHARDONNAY WEST BLOCK,Domestic Chardonnay,0.75,79.99,038719 ⇢,
Martignetti,Knotty Vines,KNOTTY VINES CHARDONNAY,Domestic Chardonnay,0.75,11.99,034597 ⇢,
Martignetti,Kosta Browne,KOSTA BROWNE CHARD ONE SIXTEEN RRV,Domestic Chardonnay,0.75,89.99,019858 ⇢,
Martignetti,Layer Cake,LAYER CAKE CHARDONNAY,Domestic Chardonnay,0.75,14.99,014004 ⇢,
Martignetti,Life is Good,LIFE IS GOOD CHARDONNAY,Domestic Chardonnay,0.75,14.99,035540 ⇢,
Martignetti,Lions Head,PANTHERA CHARDONNAY RRV,Domestic Chardonnay,0.75,36.99,032998 ⇢,
Martignetti,Longevity,LONGEVITY CHARDONNAY,Domestic Chardonnay,0.75,14.99,017999 ⇢,
Martignetti,MacRostie,"MACROSTIE CHARDONNAY, SONOMA",Domestic Chardonnay,0.75,24.99,025963 ⇢,
